quarter,factor,lo90,hi90
1996Q1,-0.02082775842649955,-0.39189276427310343,0.35023724742010437
1996Q2,0.2773314584096413,-0.08619154894482645,0.6408544657641091
1996Q3,0.28332712703164464,-0.08018135837942092,0.6468356124427102
1996Q4,0.05615848263526036,-0.3073499751012209,0.4196669403717416
1997Q1,0.1423053628366343,-0.2212030948471999,0.5058138205204685
1997Q2,0.3126945767131733,-0.05081388097400108,0.6762030344003477
1997Q3,0.22926301955601486,-0.13424543812781936,0.5927714772398491
1997Q4,0.3360041197385394,-0.027504337945294832,0.6995125774223736
1998Q1,0.5906584067179981,0.22714994903416386,0.9541668644018323
1998Q2,0.46152616016641795,0.09801770248258374,0.8250346178502521
1998Q3,0.032036847364943576,-0.33147161031889066,0.3955453050487778
1998Q4,0.32489314814673476,-0.03861530953709946,0.688401605830569
1999Q1,0.22230423427109106,-0.14120422341274316,0.5858126919549252
1999Q2,0.06788850920865046,-0.29561994847518375,0.4313969668924847
1999Q3,0.2620193776944568,-0.1014890799893774,0.625527835378291
1999Q4,0.42434483756449604,0.06083637988066182,0.7878532952483303
2000Q1,0.07721671544659685,-0.28629174223723736,0.4407251731304311
2000Q2,-0.1792209350394257,-0.5427293927232599,0.1842875226444085
2000Q3,-0.14196112384469645,-0.5054695815285306,0.22154733383913777
2000Q4,0.27574208533064004,-0.08776637235319418,0.6392505430144743
2001Q1,-0.6658722668293737,-1.0293807245132078,-0.3023638091455395
2001Q2,0.34840085401510057,-0.015107603668733649,0.7119093116989348
2001Q3,-0.41448272378382306,-0.7779911814676572,-0.05097426609998884
2001Q4,-0.010393043951499144,-0.37390150163533337,0.35311541373233507
2002Q1,-0.18827799387525923,-0.5517864515590934,0.175230463808575
2002Q2,-0.08435596149655476,-0.447864419180389,0.27915249618727944
2002Q3,-0.327168669843907,-0.6906771275277412,0.036339787839927196
2002Q4,-0.363141216961786,-0.7266496746456201,0.0003672407220482454
2003Q1,-0.276098535625112,-0.6396069933089462,0.08740992205872222
2003Q2,0.10011955636637615,-0.26338890131745807,0.46362801405021037
2003Q3,0.0022898633316129503,-0.36121859435222126,0.3657983210154472
2003Q4,-0.00018043728990176002,-0.36368889497373597,0.36332802039393247
2004Q1,0.09250595494086547,-0.2710025027429688,0.45601441262469966
2004Q2,0.2477965844058329,-0.11571187327800131,0.6113050420896671
2004Q3,-0.1903009993961281,-0.5538094570799623,0.17320745828770612
2004Q4,0.4848477534966763,0.12133929581284209,0.8483562111805105
2005Q1,-0.5587172154053485,-0.9222256730891827,-0.19520875772151425
2005Q2,0.16847331124546647,-0.19503514643836775,0.5319817689293007
2005Q3,-0.4154644813958131,-0.7789729390796474,-0.05195602371197888
2005Q4,0.0913867357202165,-0.2721217219636177,0.4548951934040507
2006Q1,0.30309059030434665,-0.060417867379487566,0.6665990479881809
2006Q2,0.1688235249699601,-0.19468493271387413,0.5323319826537943
2006Q3,-0.14912688665200785,-0.512635344335842,0.21438157103182637
2006Q4,0.025180527045720342,-0.3383279306381139,0.38868898472955454
2007Q1,0.07655426431665122,-0.286954193367183,0.44006272200048546
2007Q2,0.11125776714832443,-0.2522506905355098,0.47476622483215863
2007Q3,-0.04006598512354365,-0.40357444280737786,0.3234424725602906
2007Q4,0.06986962306415956,-0.29363883461967466,0.4333780807479938
2008Q1,0.2551749072590338,-0.10833355042480042,0.618683364942868
2008Q2,-0.4055466874267266,-0.7690551451105608,-0.0420382297428924
2008Q3,-0.4267475326315242,-0.7902559903153584,-0.06323907494768999
2008Q4,-1.0608158559143688,-1.4243243135982029,-0.6973073982305346
2009Q1,-1.6022792907847672,-1.9657877484686015,-1.2387708331009328
2009Q2,-0.04513291049465085,-0.40864136817848506,0.31837554718918337
2009Q3,0.609296310968728,0.24578785328489383,0.9728047686525623
2009Q4,0.11287160278529954,-0.2506368548985347,0.4763800604691337
2010Q1,0.17518241162933323,-0.18832604605450098,0.5386908693131675
2010Q2,0.19697293113350353,-0.1665355265503307,0.5604813888173378
2010Q3,-0.5334008270431569,-0.8969092847269912,-0.16989236935932273
2010Q4,0.25705314956148717,-0.10645530812234705,0.6205616072453214
2011Q1,-1.1047786152048762,-1.4682870728887103,-0.741270157521042
2011Q2,-0.27318836512281713,-0.6366968228066514,0.09032009256101708
2011Q3,-0.7629066839626754,-1.1264151416465096,-0.39939822627884114
2011Q4,-0.7574883167182875,-1.1209967744021219,-0.3939798590344533
2012Q1,-0.2626338100616737,-0.626142267745508,0.10087464762216053
2012Q2,-0.9546258213073051,-1.3181342789911392,-0.5911173636234709
2012Q3,-0.36944953260109104,-0.7329579902849253,-0.005941074917256817
2012Q4,-0.29433947462091714,-0.6578479323047514,0.06916898306291708
2013Q1,-0.10144272615319189,-0.4649511838370261,0.26206573153064233
2013Q2,0.5318086326350332,0.16830017495119898,0.8953170903188674
2013Q3,0.08533371774392692,-0.27817473993990727,0.44884217542776117
2013Q4,0.1076556630287271,-0.25585279465510713,0.4711641207125613
2014Q1,-0.17239565191238282,-0.535904109596217,0.1911128057714514
2014Q2,0.2561115201734794,-0.10739693751035484,0.6196199778573136
2014Q3,0.23378342238793598,-0.12972503529589824,0.5972918800717701
2014Q4,0.12649248925805984,-0.23701596842577438,0.49000094694189406
2015Q1,0.17029129709205187,-0.19321716059178234,0.5337997547758861
2015Q2,0.33976902749513116,-0.02373943018870306,0.7032774851789654
2015Q3,-0.35037519283543694,-0.7138836505192712,0.013133264848397275
2015Q4,0.005367448880665553,-0.3581410088031687,0.36887590656449976
2016Q1,-0.018837290654639918,-0.3823457483384741,0.3446711670291943
2016Q2,0.06057308143114388,-0.30293537625269035,0.4240815391149781
2016Q3,0.251919132627951,-0.1115893250558832,0.6154275903117852
2016Q4,0.3826295217441236,0.019121064060289406,0.7461379794279579
2017Q1,0.18572431079483473,-0.1777841468889995,0.549232768478669
2017Q2,-0.17772282469751333,-0.5412312823813475,0.1857856329863209
2017Q3,0.15338788218405536,-0.21012057549977886,0.5168963398678896
2017Q4,0.25033633497271485,-0.11317212271111937,0.6138447926565491
2018Q1,0.09196440549898596,-0.27154405218484823,0.4554728631828202
2018Q2,-0.0021861780448187724,-0.365694635728653,0.3613222796390154
2018Q3,-0.3153806385776738,-0.678889096261508,0.04812781910616043
2018Q4,0.29986341693511537,-0.06364504074871885,0.6633718746189496
2019Q1,0.6519848351507335,0.28847637746689925,1.0154932928345677
2019Q2,-0.43844922653648155,-0.8019576842203158,-0.07494076885264733
2019Q3,0.02861855611867716,-0.3348899015651571,0.39212701380251136
2019Q4,0.06628815070629612,-0.2972203069775381,0.42979660839013034
2020Q1,-0.8555459896896311,-1.2190544473734652,-0.4920375320057969
2020Q2,-7.516480344991834,-7.879988802675668,-7.1529718873079995
2020Q3,7.029987614316797,6.666479156632962,7.393496072000631
2020Q4,0.6127801137324521,0.2492716560486179,0.9762885714162863
2021Q1,-0.5163883841051243,-0.8798968417889586,-0.1528799264212901
2021Q2,0.20444963348532152,-0.1590588241985127,0.5679580911691557
2021Q3,1.1762801395921472,0.812771681908313,1.5397885972759813
2021Q4,0.7555226677379698,0.3920142100541356,1.1190311254218042
2022Q1,0.17095020311801815,-0.19255825456581607,0.5344586608018523
2022Q2,0.2567934857877926,-0.10671497189604162,0.6203019434716268
2022Q3,0.1799543604269023,-0.18355409725693192,0.5434628181107365
2022Q4,-0.20428557523698038,-0.5677940329208147,0.15922288244685384
2023Q1,0.22910390444188833,-0.1344045532419459,0.5926123621257225
2023Q2,-0.27451522595575356,-0.6380236836395878,0.08899323172808066
2023Q3,-0.16397477591184445,-0.5274832335956787,0.19953368177198977
2023Q4,0.1304545401269214,-0.23305391755691282,0.4939629978107556
2024Q1,-0.04740194701167402,-0.4109104046955082,0.3161065106721602
2024Q2,0.3845578790236394,0.021049421339805197,0.7480663367074736
2024Q3,0.17959067227743372,-0.18391778540650136,0.5430991299613688
2024Q4,-0.02135416899592211,-0.3848626267325956,0.3421542887407513
2025Q1,-0.06447719026106091,-0.4279856756723204,0.29903129515019855
2025Q2,-0.07025559039910925,-0.4337785977537706,0.29326741695555214
2025Q3,0.2434141372867852,-0.12765086855992533,0.6144791431334957
